Company Code,Company Name,Order Number,Material Number,Material Description,Plant,Plant Name,Work Center ID,Operation Short Text,Operation/Activity Number,Created By,Created Date,Posting Date,Basic Finish Date,Basic Start Date,Reservation Number,Reservation Item,Storage Location,Purchase Document Item Number,Purchase Document Number,Vendor Code,Movement Type,MRP Controller,Planned output quantity,Requirement Quantity,Unit Measure,Withdrawn Quantity,Actual yield (confirmed),Actual_Yield_Percent,Actual_Loss_Percent,Standard_Yield_Loss
1000,CJSJ LTD,600003259,2600106,OIL FILTER FOR GAE90 P/NO:2903 752,1004,"CJSJ Works, Mangrol",10001228,general items issue,10,C_1100147,12-08-2025,12-08-2025,12-04-2024,12-04-2024,3970,1,1,,0,,261,,1,2,PAC,2,0,0,100,50
1000,CJSJ LTD,600003259,'000000000095123433,TMEIC/8387/LRT/50C470,1015,CJSJ Pearl,10001228,general items issue,10,C_1100147,12-08-2025,12-08-2025,12-04-2024,12-04-2024,3970,2,1,,0,,261,,1,15,L,15,0,0,100,93.33333333
1000,CJSJ LTD,600003259,2200041,TEST BAR GREY IRON SCRAP,1001,"CJSJ Works, Nashik",10001228,general items issue,10,C_1100147,12-08-2025,12-08-2025,12-04-2024,12-04-2024,3970,3,,,0,,261,,1,1,NO,1,0,0,100,0
1000,CJSJ LTD,600003614,2600979,SHAKE OUT PUSHER ROLER,1902,"CJSJ Works, Ayodhya",10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,1,,,0,,261,,1,100,KG,100,0,0,100,99
1000,CJSJ LTD,600003614,2600159,BOLT HEX MS M16X75MM NUT AND WASHER,1408,"CJSJ Plant, Delhi",10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,3,,,0,,261,,1,800,KG,0,0,0,100,99.875
1000,CJSJ LTD,600003614,2601151,"JANATICS MALE CONNECTOR 10X3/8""",1511,"CJSJ Works, Pune",10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,4,,,0,,261,,1,800,KG,800,0,0,100,99.875
1000,CJSJ LTD,600003614,2500155,Pre coated doubleskin 50mm thick Puff wa,3804,CJSJ Tech Works,10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,5,,,0,,261,,1,100,BAG,100,0,0,100,99
1000,CJSJ LTD,600003614,2500209,BOOK CASE OFFICE FILE ALMIRAH 5 DOOR,5706,CJSJ Sil Works,10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,6,,,0,,261,,1,100,BAG,50,0,0,100,99
1000,CJSJ LTD,600003614,'000000000092318080,"CPVC 1 1/4  INCH NRV,",1004,"CJSJ Works, Mangrol",10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,7,,,0,,261,,1,20,BAG,0,0,0,100,95
1000,CJSJ LTD,600003614,2500250,SHELL CORE SHOOTER M/C MODEL:3036 HPA,1015,CJSJ Pearl,10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,8,,,0,,261,,1,80,KG,0,0,0,100,98.75
1000,CJSJ LTD,600003614,2601299,NEEDLE FILE,1001,"CJSJ Works, Nashik",10001226,material issues,10,C_1100244,19-08-2025,19-08-2025,08-04-2024,08-04-2024,4724,10,,,0,,261,,1,20,KG,0,0,0,100,95
