Company Code,Company Name ,Plant Code,Plant Description,VendorNo,Currency,DELIVERYDATE,Location,Document Status,DOCUMENTSTATUS,GL Account,PO No,Vendor Nmae,VENDGROUP,Area ID,Date of Creation,CREATEDBY,TAPFPRIMARYADDRESSNAME,Total PO Value,DISCAMOUNT,DISCPERCENT,GRN Number,Material Code,Material Description,Line Amount,PRICEUNIT,Unit Price,Quantity,Sales Unit,Modification Test,Inventory Group,Comment,Vendor Comments,MODIFIEDBY,Line No,Contract Price,Contract End Date,FROMDIFF,TODIFF,PriceDiff,FinalImpact
1000,CJSJ LTD,1004,"CJSJ Works, Mangrol",GV03345,INR,15-08-2025,NULL,Purchase Order,Approved,EXP_VPP,7100031562,MIRACLE FOODS,EXP,bwd,10-07-2025 16:22,C_1188218,MIRACLE FOODS,478277,0,0,BWD-058632,'000000000092318104,CPVC 1 1/2  INCH CROSS OVER.,8857.2,1,738.1,12,EA,01-08-2025 13:12,PN001,NULL,NULL,C_1188218,30,595,31-08-2024,39,51,143.1,1717.2
1000,CJSJ LTD,1015,CJSJ Pearl ,GV03345,INR,15-08-2025,NULL,Purchase Order,Approved,EXP_VPP,7100031562,MIRACLE FOODS,EXP,bwd,10-07-2025 16:22,C_1188218,MIRACLE FOODS,478277,0,0,BWD-058640,'000000000092318123,CPVC 1 1/4 INCH TO 1 INCH REDUCER BUSH.,125147.55,1,114.29,1095,EA,01-08-2025 13:12,PN001,NULL,NULL,C_1188218,24,111,31-08-2024,39,51,3.29,3602.55
1000,CJSJ LTD,1001,"CJSJ Works, Nashik",GV01681,INR,28-05-2025,Bellary,Purchase Order,Approved,EXP_VPP,7100031559,C NAGARATHINAM & SONS,EXP,bel,28-05-2025 05:46,C_1100529,C NAGARATHINAM & SONS,6433780,0,0,BEL-254502,'000000000092318115,CPVC 2   INCH BALL VALVE.,6075900,1,157,38700,EA,01-08-2025 07:52,PN001,NULL,NULL,C_1100529,1,155,31-05-2024,42,2,2,77400
1000,CJSJ LTD,1902,"CJSJ Works, Ayodhya",GV01681,INR,28-05-2025,Bellary,Purchase Order,Approved,EXP_VPP,7100031559,C NAGARATHINAM & SONS,EXP,bel,28-05-2025 05:46,C_1100529,C NAGARATHINAM & SONS,6433780,0,0,BEL-254502,'000000000092318115,CPVC 2   INCH BALL VALVE.,6075900,1,157,38700,EA,01-08-2025 07:52,PN001,NULL,NULL,C_1100529,1,119,31-05-2024,146,2,38,1470600
1000,CJSJ LTD,1004,"CJSJ Works, Mangrol",GV01681,INR,28-05-2025,Bellary,Purchase Order,Approved,EXP_VPP,7100031559,C NAGARATHINAM & SONS,EXP,bel,28-05-2025 05:46,C_1100529,C NAGARATHINAM & SONS,6433780,0,0,BEL-254502,'000000000092318115,CPVC 2   INCH BALL VALVE.,6075900,1,157,38700,EA,01-08-2025 07:52,PN001,NULL,NULL,C_1100529,2,119,31-05-2024,118,2,38,1470600
1000,CJSJ LTD,1015,CJSJ Pearl ,GV04857,INR,26-03-2025,BHUJ,Purchase Order,Approved,EXP_VPP,7000036577,Shree Shankar Masala Pvt Ltd,EXP,bhj,26-03-2025 09:01,C_1100625,SHREE SHANKAR MASALA PVT LTD,284100,0,0,BHJ-065785,'000000000093500111,SIEMENS/3273/DCR-720/50C470/IP,231750,1,75,3090,EA,02-08-2025 06:57,CHILDPT,PO CLOSE,NULL,C_1100625,3,73,30-04-2024,29,34,2,6180
1000,CJSJ LTD,1001,"CJSJ Works, Nashik",GV04857,INR,26-03-2025,BHUJ,Purchase Order,Approved,EXP_VPP,7000036577,Shree Shankar Masala Pvt Ltd,EXP,bhj,26-03-2025 09:01,C_1100625,SHREE SHANKAR MASALA PVT LTD,284100,0,0,BHJ-065787,'000000000092318138,GI 1/2INCH UNION.,34800,1,58,600,EA,02-08-2025 06:58,PN001,PO CLOSE,NULL,C_1100625,9,56,30-04-2024,29,34,2,1200
1000,CJSJ LTD,1902,"CJSJ Works, Ayodhya",GV04857,INR,26-03-2025,BHUJ,Purchase Order,Approved,EXP_VPP,7000036577,Shree Shankar Masala Pvt Ltd,EXP,bhj,26-03-2025 09:01,C_1100625,SHREE SHANKAR MASALA PVT LTD,284100,0,0,BHJ-065787,'000000000092318138,GI 1/2INCH UNION.,34800,1,58,600,EA,02-08-2025 06:58,PN001,PO CLOSE,NULL,C_1100625,1,57,30-04-2024,29,34,1,600
1000,CJSJ LTD,1004,"CJSJ Works, Mangrol",GV04857,INR,08-02-2025,BHUJ,Purchase Order,Approved,EXP_VPP,7000036582,Shree Shankar Masala Pvt Ltd,EXP,bhj,08-02-2025 07:11,C_1102091,SHREE SHANKAR MASALA PVT LTD,60800,0,0,BHJ-054890,'000000000092318085,CPVC 1 1/4  INCH C-CLAMP.,68400,1,38,1800,EA,03-08-2025 04:49,PN001,PO CLOSE,NULL,C_1102091,12,36,28-02-2024,47,19,2,3600
1000,CJSJ LTD,1015,CJSJ Pearl ,GV02317,INR,30-05-2025,Mansa,Purchase Order,Approved,EXP_VPP,4100025802,H R BRAND,EXP,man,30-05-2025 11:18,C_1102091,H R BRAND,669532,0,0,MAN-078202,'000000000092107263,MANDREL KEY DRG. NO. MISC-751,637650,1,98.1,6500,EA,03-08-2025 10:17,MC001,NULL,NULL,C_1102091,8,97,31-05-2024,68,0,1.1,7150
